Title,Tags
Date of MC Constitution:,20/10/2004
Development Name:,11 AMBER
Status:,Active
Development Location:,11 AMBER ROAD SINGAPORE 439857
MC Address:,"11 FRENCH ROAD
#B1-01 
 SINGAPORE 439857"
MC Contact No.:,64411184
Name of Managing Agent:,A4 International Pte Ltd
Managing Agent Contact No.:,64411184
MCST No:,2915
UEN:,T04MC2915A
Date of MC Constitution:,18/10/2004
Development Name:,BALMORAL HEIGHTS
Status:,Active
Development Location:,8 BALMORAL CRESCENT SINGAPORE 259928
MC Address:,"8 BALMORAL CRESCENT
#01-05 BALMORAL HEIGHTS
 SINGAPORE 259928"
MC Contact No.:,64436039
Name of Managing Agent:,Focus Strata Management Pte Ltd
Managing Agent Contact No.:,64436039
MCST No:,2916
UEN:,T04MC2916H
Date of MC Constitution:,22/10/2004
Development Name:,SANCTUARY GREEN CONDOMINIUM
Status:,Active
Development Location:,181 TANJONG RHU ROAD SINGAPORE 436922
MC Address:,"189 TANJONG RHU ROAD
#01-02 SANCTUARY GREEN CONDOMINIUM
 SINGAPORE 436926"
MC Contact No.:,62414818
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,6241 4818
MCST No:,2917
UEN:,T04MC2917D
Date of MC Constitution:,28/10/2004
Development Name:,THE GARDENS AT BISHAN
Status:,Active
Development Location:,1 SIN MING WALK SINGAPORE 575574
MC Address:,"5 SIN MING WALK
#B1-41 THE GARDENS AT BISHAN
 SINGAPORE 575576"
MC Contact No.:,68539377
Name of Managing Agent:,Exceltec Property Management Pte Ltd
Managing Agent Contact No.:,68539377
MCST No:,2918
UEN:,T04MC2918L
Date of MC Constitution:,28/10/2004
Development Name:,87 WILKIE APARTMENTS
Status:,Active
Development Location:,87 WILKIE ROAD SINGAPORE 228084
MC Address:,"3 ANG MO KIO STREET 62
#01-49 LINK @ AMK
 SINGAPORE 569139"
MC Contact No.:,65521214
Name of Managing Agent:,LUXMAN PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,98321439
MCST No:,2919
UEN:,T04MC2919G
Date of MC Constitution:,29/10/2004
Development Name:,THE ANSLEY
Status:,Active
Development Location:,33 MANDALAY ROAD SINGAPORE 308214
MC Address:,"33 MANDALAY ROAD
#B1-01 THE ANSLEY AT NOVENA
 SINGAPORE 308214"
MC Contact No.:,62582669
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2920
UEN:,T04MC2920D
Date of MC Constitution:,04/11/2004
Development Name:,AMARANDA GARDENS
Status:,Active
Development Location:,116 SERANGOON AVENUE 3 SINGAPORE 556127
MC Address:,"116 SERANGOON AVENUE 3
#02-13 AMARANDA GARDENS
 SINGAPORE 556127"
MC Contact No.:,62825429
Name of Managing Agent:,Knight Frank Property Asset Management Pte Ltd
Managing Agent Contact No.:,90628547
MCST No:,2921
UEN:,T04MC2921L
Date of MC Constitution:,08/11/2004
Development Name:,NOVENA SUITES
Status:,Active
Development Location:,200 MOULMEIN ROAD SINGAPORE 308107
MC Address:,"200 MOULMEIN ROAD
#01-01 NOVENA SUITES
 SINGAPORE 308107"
MC Contact No.:,62545412
Name of Managing Agent:,Property Facility Serivces Pte Ltd
Managing Agent Contact No.:,62211313
MCST No:,2922
UEN:,T04MC2922G
Date of MC Constitution:,08/11/2004
Development Name:,EASTSIDE LOFT
Status:,Active
Development Location:,150 TANJONG KATONG ROAD SINGAPORE 437154
MC Address:,"125A TOA PAYOH CENTRAL
#02-134 
 SINGAPORE 311125"
MC Contact No.:,62569333
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2923
UEN:,T04MC2923C
Date of MC Constitution:,10/11/2004
Development Name:,THE JADE
Status:,Active
Development Location:,9 BUKIT BATOK CENTRAL LINK SINGAPORE 658074
MC Address:,"9 BUKIT BATOK CENTRAL LINK
#01-11 THE JADE
 SINGAPORE 311125"
MC Contact No.:,84829943
Name of Managing Agent:,Newman & Goh Property Consultants Pte Ltd
Managing Agent Contact No.:,84829943
MCST No:,2924
UEN:,T04MC2924K
Date of MC Constitution:,10/11/2004
Development Name:,HULLET RISE
Status:,Active
Development Location:,6 HULLET ROAD SINGAPORE 229159
MC Address:,"1 SCOTTS ROAD
#13-00 SHAW CENTRE
 SINGAPORE 228208"
MC Contact No.:,62352077
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2925
UEN:,T04MC2925F
Date of MC Constitution:,12/11/2004
Development Name:,MEADOW LODGE
Status:,Active
Development Location:,31 CHUN TIN ROAD SINGAPORE 599717
MC Address:,"31 CHUN TIN ROAD
#B1-01 MEADOW LODGE
 SINGAPORE 599717"
MC Contact No.:,64685100
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,97692979
MCST No:,2926
UEN:,T04MC2926B
Date of MC Constitution:,12/11/2004
Development Name:,MILLPOINT
Status:,Active
Development Location:,1 ZION CLOSE SINGAPORE 247811
MC Address:,"3 ZION CLOSE
#01-01 MILLPOINT
 SINGAPORE 247813"
MC Contact No.:,63338601
Name of Managing Agent:,ECHT Property Consultants Pte Ltd
Managing Agent Contact No.:,63338601
MCST No:,2927
UEN:,T04MC2927J
Date of MC Constitution:,06/12/2004
Development Name:,SYLVAN LODGE (TERMINATED)
Status:,Terminated
Development Location:,
MC Address:,"143 CECIL STREET
#7-1 6B BUILDING
 SINGAPORE 69542"
MC Contact No.:,62993811
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2928
UEN:,T04MC2928E
Date of MC Constitution:,16/12/2004
Development Name:,THE LIGHT AT CAIRNHILL
Status:,Active
Development Location:,19 CAIRNHILL CIRCLE SINGAPORE 229768
MC Address:,"19 CAIRNHILL CIRCLE
#B1-03 THE LIGHT AT CAIRNHILL
 SINGAPORE 229768"
MC Contact No.:,67380650
Name of Managing Agent:,Savills Property Management Pte Ltd
Managing Agent Contact No.:,67368184
MCST No:,2929
UEN:,T05MC2929F
Date of MC Constitution:,17/01/2005
Development Name:,NGEE ANN CITY
Status:,Active
Development Location:,391 ORCHARD ROAD SINGAPORE 238873
MC Address:,"391A ORCHARD ROAD
#08-05 NGEE ANN CITY
 SINGAPORE 238873"
MC Contact No.:,67330337
Name of Managing Agent:,Ngee Ann Property Management Pte Ltd
Managing Agent Contact No.:,67330337
MCST No:,2930
UEN:,T04MC2930J
Date of MC Constitution:,01/12/2004
Development Name:,KNOX VIEW
Status:,Active
Development Location:,21 LORONG M TELOK KURAU SINGAPORE 425307
MC Address:,"21 LORONG M TELOK KURAU
#01-02 KNOX VIEW
 SINGAPORE 425307"
MC Contact No.:,97457371
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2931
UEN:,T04MC2931E
Date of MC Constitution:,02/12/2004
Development Name:,SUNFLOWER GRANDEUR
Status:,Active
Development Location:,31 LORONG 39 GEYLANG SINGAPORE 387878
MC Address:,"162 BUKIT MERAH CENTRAL
#06-3545 
 SINGAPORE 150162"
MC Contact No.:,96937318
Name of Managing Agent:,SRE Global Pte Ltd
Managing Agent Contact No.:,96937318
MCST No:,2932
UEN:,T04MC2932A
Date of MC Constitution:,06/12/2004
Development Name:,FORTUNE JADE
Status:,Active
Development Location:,501 DUNMAN ROAD SINGAPORE 439193
MC Address:,"60 KAKI BUKIT PLACE
#02-10 EUNOS TECHPARK 
 SINGAPORE 415979"
MC Contact No.:,6441 1184
Name of Managing Agent:,A4 International Pte Ltd
Managing Agent Contact No.:,6441 1184
MCST No:,2933
UEN:,T04MC2933H
Date of MC Constitution:,13/12/2004
Development Name:,CHERRY GARDENS
Status:,Active
Development Location:,61 LORONG LEW LIAN SINGAPORE 536491
MC Address:,"63 LORONG LEW LIAN
#B1-01 CHERRY GARDENS
 SINGAPORE 536492"
MC Contact No.:,65815604
Name of Managing Agent:,Avalon Asset Management Pte Ltd
Managing Agent Contact No.:,65815604
MCST No:,2934
UEN:,T04MC2934D
Date of MC Constitution:,15/12/2004
Development Name:,BUTTERWORTH 8
Status:,Active
Development Location:,2 BUTTERWORTH LANE SINGAPORE 439420
MC Address:,"6 BUTTERWORTH LANE
#B1-07 BUTTERWORTH 8
 SINGAPORE 439422"
MC Contact No.:,67473184
Name of Managing Agent:,Savills Property Management Pte Ltd
Managing Agent Contact No.:,63463238
MCST No:,2935
UEN:,T04MC2935L
Date of MC Constitution:,15/12/2004
Development Name:,THE TAIPAN
Status:,Active
Development Location:,25 JALAN HAJIJAH SINGAPORE 469721
MC Address:,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874"
MC Contact No.:,67322220
Name of Managing Agent:,Sierra Asset Management Pte Ltd
Managing Agent Contact No.:,67322220
MCST No:,2936
UEN:,T04MC2936G
Date of MC Constitution:,22/12/2004
Development Name:,GLAMOUR VILLE
Status:,Active
Development Location:,1 LORONG N TELOK KURAU SINGAPORE 425120
MC Address:,"1 LORONG N TELOK KURAU
#01-03 GLAMOUR VILLE
 SINGAPORE 425120"
MC Contact No.:,61004177
Name of Managing Agent:,Olympian Property Management Pte Ltd
Managing Agent Contact No.:,61004177
MCST No:,2937
UEN:,T05MC2937H
Date of MC Constitution:,06/01/2005
Development Name:,BINJAI CREST
Status:,Active
Development Location:,69 TO 319 JALAN KAMPONG CHANTEK SINGAPORE 586878
MC Address:,"319 JALAN KAMPONG CHANTEK
#B1-01 BINJAI CREST
 SINGAPORE 587868"
MC Contact No.:,67630266
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,64685100
MCST No:,2938
UEN:,T05MC2938D
Date of MC Constitution:,10/01/2005
Development Name:,RIO VISTA
Status:,Active
Development Location:,10 UPPER SERANGOON VIEW SINGAPORE 534198
MC Address:,"14 UPPER SERANGOON VIEW
#B1-45 RIO VISTA CONDOMINIUM
 SINGAPORE 534200"
MC Contact No.:,68757470
Name of Managing Agent:,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd)
Managing Agent Contact No.:,62555652
MCST No:,2939
UEN:,T05MC2939L
Date of MC Constitution:,12/01/2005
Development Name:,BELMOND GREEN
Status:,Active
Development Location:,15D BALMORAL ROAD SINGAPORE 259819
MC Address:,"13 BALMORAL ROAD
#01-19 BELMOND GREEN
 SINGAPORE 259799"
MC Contact No.:,62382285
Name of Managing Agent:,Savills Property Management Pte Ltd
Managing Agent Contact No.:,67368180
MCST No:,2940
UEN:,T05MC2940H
Date of MC Constitution:,17/01/2005
Development Name:,THE GLACIER
Status:,Active
Development Location:,260 JOO CHIAT PLACE SINGAPORE 427941
MC Address:,"260 JOO CHIAT PLACE
#B1-05 THE GLACIER
 SINGAPORE 427941"
MC Contact No.:,65815604
Name of Managing Agent:,Avalon Asset Management Pte Ltd
Managing Agent Contact No.:,65815604
MCST No:,2941
UEN:,T05MC2941D
Date of MC Constitution:,17/01/2005
Development Name:,EVERITT GREEN
Status:,Active
Development Location:,9 EVERITT ROAD NORTH SINGAPORE 429522
MC Address:,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874"
MC Contact No.:,67322220
Name of Managing Agent:,Sierra Asset Management Pte Ltd
Managing Agent Contact No.:,67322220
MCST No:,2942
UEN:,T05MC2942L
Date of MC Constitution:,18/01/2005
Development Name:,PARC HAVEN
Status:,Active
Development Location:,12 LORONG LIMAU SINGAPORE 328741
MC Address:,"12 LORONG LIMAU
#01-05 PARC HAVEN
 SINGAPORE 328741"
MC Contact No.:,6342 0778
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2943
UEN:,T05MC2943G
Date of MC Constitution:,20/01/2005
Development Name:,EAST PALM
Status:,Active
Development Location:,1 PALM ROAD SINGAPORE 456448
MC Address:,"1 PALM ROAD
EAST PALM
 SINGAPORE 456448"
MC Contact No.:,93662114
Name of Managing Agent:,IMAX PROPERTY CONSULTANCY
Managing Agent Contact No.:,93662114
MCST No:,2944
UEN:,T05MC2944C
Date of MC Constitution:,24/01/2005
Development Name:,HILLS APARTMENT
Status:,Active
Development Location:,46 GOLDHILL AVENUE SINGAPORE 309029
MC Address:,"46 GOLDHILL AVENUE
HILLS APARTMENT
 SINGAPORE 309029"
MC Contact No.:,6223 0169
Name of Managing Agent:,SMART PROPERTY MANAGEMENT (S) PTE LTD
Managing Agent Contact No.:,62230169
MCST No:,2945
UEN:,T05MC2945K
Date of MC Constitution:,27/01/2005
Development Name:,GALLERY FIFTEEN
Status:,Active
Development Location:,31 JALAN DUSUN SINGAPORE 329370
MC Address:,"31 JALAN DUSUN
GALLERY FIFTEEN
 SINGAPORE 329370"
MC Contact No.:,62569333
Name of Managing Agent:,Newman & Associates Pte Ltd
Managing Agent Contact No.:,6256 9333
MCST No:,2946
UEN:,T05MC2946F
Date of MC Constitution:,31/01/2005
Development Name:,PARRY COURT
Status:,Active
Development Location:,35 PARRY AVENUE SINGAPORE 547261
MC Address:,"10 JALAN BESAR
#09-11 SIM LIM TOWER
 SINGAPORE 208787"
MC Contact No.:,62982100
Name of Managing Agent:,Parkland Property Services Pte Ltd
Managing Agent Contact No.:,62982100
MCST No:,2947
UEN:,T05MC2947B
Date of MC Constitution:,01/02/2005
Development Name:,ENTREPRENEUR BUSINESS CENTRE
Status:,Active
Development Location:,18 KAKI BUKIT ROAD 3 SINGAPORE 415978
MC Address:,"18 KAKI BUKIT ROAD 3
#B1-01 ENTREPRENEUR BUSINESS CENTRE
 SINGAPORE 415978"
MC Contact No.:,63393779
Name of Managing Agent:,First Boston Property Consultants Pte Ltd
Managing Agent Contact No.:,63393779
MCST No:,2948
UEN:,T05MC2948J
Date of MC Constitution:,11/02/2005
Development Name:,CARIBBEAN AT KEPPEL BAY
Status:,Active
Development Location:,2 KEPPEL BAY DRIVE SINGAPORE 098636
MC Address:,"2 KEPPEL BAY DRIVE
#B1-134 CARIBBEAN AT KEPPEL BAY
 SINGAPORE 098636"
MC Contact No.:,62760377
Name of Managing Agent:,Asia Properties & Assets Consultancy Pte Ltd
Managing Agent Contact No.:,6276 0377
MCST No:,2949
UEN:,T05MC2949E
Date of MC Constitution:,16/02/2005
Development Name:,CRANE COURT
Status:,Active
Development Location:,38 CRANE ROAD SINGAPORE 429381
MC Address:,"38 CRANE ROAD
#01-01 CRANE COURT
 SINGAPORE 429381"
MC Contact No.:,93594384
Name of Managing Agent:,MCS United Group Holdings Pte Ltd
Managing Agent Contact No.:,93594384
MCST No:,2950
UEN:,T05MC2950B
Date of MC Constitution:,07/03/2005
Development Name:,LEGENDA @ JOO CHIAT
Status:,Active
Development Location:,17 JOO CHIAT PLACE SINGAPORE 428096
MC Address:,"13 JOO CHIAT LANE
#01-21 LEGENDA @ JOO CHIAT
 SINGAPORE 428123"
MC Contact No.:,64411184
Name of Managing Agent:,A4 International Pte Ltd
Managing Agent Contact No.:,64411184
MCST No:,2951
UEN:,T05MC2951J
Date of MC Constitution:,08/03/2005
Development Name:,QUEENSBERRY LODGE
Status:,Active
Development Location:,11 SHANGHAI ROAD SINGAPORE 248185
MC Address:,"11 SHANGHAI ROAD
QUEENSBERRY LODGE
 SINGAPORE 248185"
MC Contact No.:,96676142
Name of Managing Agent:,Anliv Management Consultants LLP
Managing Agent Contact No.:,91877081
MCST No:,2952
UEN:,T05MC2952E
Date of MC Constitution:,14/03/2005
Development Name:,THE GRANGE RESIDENCES
Status:,Active
Development Location:,91 GRANGE ROAD SINGAPORE 249613
MC Address:,"93 GRANGE ROAD
#01-06 GRANGE RESIDENCES
 SINGAPORE 249614"
MC Contact No.:,64792339
Name of Managing Agent:,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,64792339
MCST No:,2953
UEN:,T05MC2953A
Date of MC Constitution:,18/03/2005
Development Name:,KLASSIC COURT
Status:,Terminated
Development Location:,133 KOON SENG ROAD SINGAPORE 427063
MC Address:,"133 KOON SENG ROAD
#5-1 KLASSIC COURT
 SINGAPORE 427063"
MC Contact No.:,93858553
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,2954
UEN:,T05MC2954H
Date of MC Constitution:,23/03/2005
Development Name:,MANDALE HEIGHTS
Status:,Active
Development Location:,45 MANDALAY ROAD SINGAPORE 308225
MC Address:,"45 MANDALAY ROAD
#01-04 MANDALE HEIGHTS
 SINGAPORE 308225"
MC Contact No.:,90065404
Name of Managing Agent:,EM Real Estate Pte Ltd
Managing Agent Contact No.:,90065404
MCST No:,2955
UEN:,T05MC2955D
Date of MC Constitution:,29/03/2005
Development Name:,ONE FORT
Status:,Active
Development Location:,1 FORT ROAD SINGAPORE 439069
MC Address:,"46 EAST COAST ROAD
#05-06 EASTGATE
 SINGAPORE 428766"
MC Contact No.:,63452117
Name of Managing Agent:,Total Estate Management Services Pte Ltd
Managing Agent Contact No.:,63452117
MCST No:,2956
UEN:,T05MC2956L
Date of MC Constitution:,26/04/2005
Development Name:,THE MORNINGTON
Status:,Active
Development Location:,16 ST. MICHAELS ROAD SINGAPORE 328005
MC Address:,"16 ST. MICHAELS ROAD
THE MORNINGTON
 SINGAPORE 328005"
MC Contact No.:,81266137
Name of Managing Agent:,RealtyLink Consultancy Pte Ltd
Managing Agent Contact No.:,81266137
MCST No:,2957
UEN:,T05mc2957G
Date of MC Constitution:,30/03/2005
Development Name:,BALMORAL CREST
Status:,Active
Development Location:,1 BALMORAL CRESCENT SINGAPORE 259882
MC Address:,"1 BALMORAL CRESCENT
BALMORAL CREST
 SINGAPORE 259882"
MC Contact No.:,68440801
Name of Managing Agent:,Halley Service Pte Ltd
Managing Agent Contact No.:,68440801
MCST No:,2958
UEN:,T05MC2958C
Date of MC Constitution:,30/03/2005
Development Name:,MOONSTONE RESIDENCES
Status:,Active
Development Location:,25 MOONSTONE LANE SINGAPORE 328465
MC Address:,"2 KALLANG AVENUE
#07-32 C T HUB
 SINGAPORE 339407"
MC Contact No.:,62915355
Name of Managing Agent:,Wisely 98 Pte Ltd
Managing Agent Contact No.:,62915355
MCST No:,2959
UEN:,T05MC2959K
Date of MC Constitution:,08/04/2005
Development Name:,HOLLAND MEWS
Status:,Active
Development Location:,69 HOLLAND ROAD SINGAPORE 258868
MC Address:,"69 HOLLAND ROAD
#01-03 HOLLAND MEWS
 SINGAPORE 258868"
MC Contact No.:,62230169
Name of Managing Agent:,SMART PROPERTY MANAGEMENT (S) PTE LTD
Managing Agent Contact No.:,6223 0169
MCST No:,2960
UEN:,T05MC2960G
Date of MC Constitution:,11/04/2005
Development Name:,DE PARADISO
Status:,Active
Development Location:,20 MARTABAN ROAD SINGAPORE 328644
MC Address:,"20 MARTABAN ROAD
#01-01 DE PARADISO
 SINGAPORE 328644"
MC Contact No.:,62230169
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,62230169
MCST No:,2961
UEN:,T05MC2961C
Date of MC Constitution:,26/04/2005
Development Name:,ETON COURT
Status:,Active
Development Location:,47 LORONG N TELOK KURAU SINGAPORE 425171
MC Address:,"47 LORONG N TELOK KURAU
ETON COURT
 SINGAPORE 415979"
MC Contact No.:,64411184
Name of Managing Agent:,A4 International Pte Ltd
Managing Agent Contact No.:,64411184
MCST No:,2962
UEN:,T05MC2962K
Date of MC Constitution:,03/05/2005
Development Name:,EL CENTRO
Status:,Terminated
Development Location:,11 KEE SENG STREET SINGAPORE 89218
MC Address:,"60 SEMBAWANG ROAD
#01-03 HONG HENG MANSIONS
 SINGAPORE 779088"
MC Contact No.:,67897772
Name of Managing Agent:,HEETON MANAGEMENT PTE LTD
Managing Agent Contact No.:,64561188
MCST No:,2963
UEN:,T05MC2963F
Date of MC Constitution:,05/05/2005
Development Name:,THE GRANDIFLORA
Status:,Active
Development Location:,121 LORONG L TELOK KURAU SINGAPORE 425554
MC Address:,"701 GEYLANG ROAD
#03-04 TEAMBUILD CENTRE
 SINGAPORE 389687"
MC Contact No.:,64664703
Name of Managing Agent:,Hub Asset Management Pte Ltd
Managing Agent Contact No.:,64664703
MCST No:,2964
UEN:,T05MC2964B
Date of MC Constitution:,17/05/2005
Development Name:,ADAM PARK CONDOMINIUM
Status:,Active
Development Location:,29A ADAM ROAD SINGAPORE 289902
MC Address:,"29B ADAM ROAD
#01-25 ADAM PARK CONDOMINIUM
 SINGAPORE 289903"
MC Contact No.:,64666755
Name of Managing Agent:,Savills Property Management Pte Ltd
Managing Agent Contact No.:,63463236
MCST No:,2965
UEN:,T05MC2965J
Date of MC Constitution:,16/05/2005
Development Name:,THE ARECA
Status:,Active
Development Location:,27/A TO W BUNGA RAMPAI PLACE SINGAPORE 534192
MC Address:,"125A LORONG 2 TOA PAYOH
#02-134 C/O NEWMAN AND ASSOCIATES PTE LTD
 SINGAPORE 311125"
MC Contact No.:,62569333
Name of Managing Agent:,Newman & Goh Property Consultants Pte Ltd
Managing Agent Contact No.:,62569333
MCST No:,2966
UEN:,T05MC2966E
Date of MC Constitution:,18/05/2005
Development Name:,THE LEVELZ
Status:,Active
Development Location:,38 FARRER ROAD SINGAPORE 268836
MC Address:,"38 FARRER ROAD
#B1-01 THE LEVELZ
 SINGAPORE 268836"
MC Contact No.:,64716085
Name of Managing Agent:,Jones Lang LaSalle Property Consultants Pte Ltd
Managing Agent Contact No.:,6220 3888
MCST No:,2967
UEN:,T05MC2967A
Date of MC Constitution:,18/05/2005
Development Name:,AQUARINE GARDENS
Status:,Active
Development Location:,91 UPPER EAST COAST ROAD SINGAPORE 455225
MC Address:,"91 UPPER EAST COAST ROAD
AQUARINE GARDENS
 SINGAPORE 455225"
MC Contact No.:,68421731
Name of Managing Agent:,Landsfield Property Management Pte Ltd
Managing Agent Contact No.:,68421731
MCST No:,2968
UEN:,T05MC2968H
Date of MC Constitution:,30/05/2005
Development Name:,SUNNY PALMS
Status:,Active
Development Location:,65 LORONG G TELOK KURAU SINGAPORE 426323
MC Address:,"65 LORONG G TELOK KURAU
#B1-01 SUNNY PALMS
 SINGAPORE 426323"
MC Contact No.:,62569333
Name of Managing Agent:,Newman & Associates Pte Ltd
Managing Agent Contact No.:,6256 9333
MCST No:,2969
UEN:,T05MC2969D
Date of MC Constitution:,14/06/2005
Development Name:,Management Corporation Strata Title No. 2969
Status:,Terminated
Development Location:,434/A TELOK BLANGAH ROAD SINGAPORE 98846
MC Address:,"200 JALAN SULTAN
#11-01 TEXTILE CENTRE
 SINGAPORE 199018"
MC Contact No.:,62915355
Name of Managing Agent:,Wisely 98 Pte Ltd
Managing Agent Contact No.:,62915355
MCST No:,2970
UEN:,T05MC2970A
Date of MC Constitution:,22/06/2005
Development Name:,THE ALCOVE
Status:,Active
Development Location:,10 LORONG 27 GEYLANG SINGAPORE 388199
MC Address:,"531 UPPER CROSS STREET
#04-12 HONG LIM COMPLEX
 SINGAPORE 050531"
MC Contact No.:,63345565
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2971
UEN:,T05MC2971H
Date of MC Constitution:,22/06/2005
Development Name:,Management Corporation Strata Title No. 2971
Status:,Active
Development Location:,62 WILKIE ROAD SINGAPORE 228066
MC Address:,"62 WILKIE ROAD
#01-01 
 SINGAPORE 228066"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2972
UEN:,T05MC2972D
Date of MC Constitution:,01/07/2005
Development Name:,THE SUNNIFLORA
Status:,Active
Development Location:,48 LORONG G TELOK KURAU SINGAPORE 426231
MC Address:,"48 LORONG G TELOK KURAU
THE SUNNIFLORA
 SINGAPORE 426231"
MC Contact No.:,64411184
Name of Managing Agent:,A4 International Pte Ltd
Managing Agent Contact No.:,64411184
MCST No:,2973
UEN:,T05MC2973L
Date of MC Constitution:,14/07/2005
Development Name:,THE LADYHILL
Status:,Active
Development Location:,1 LADY HILL ROAD SINGAPORE 258670
MC Address:,"1 LADY HILL ROAD
#01-01 THE LADYHILL
 SINGAPORE 258670"
MC Contact No.:,67372336
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,2974
UEN:,T05MC2974G
Date of MC Constitution:,19/07/2005
Development Name:,SOHO@FARRER
Status:,Active
Development Location:,172 RACE COURSE ROAD SINGAPORE 218605
MC Address:,"172 RACE COURSE ROAD
SOHO@FARRER
 SINGAPORE 218605"
MC Contact No.:,63420778
Name of Managing Agent:,Hilandas Property & Facilities Management Pte Ltd
Managing Agent Contact No.:,6342 0778
MCST No:,2975
UEN:,T05MC2975C
Date of MC Constitution:,21/07/2005
Development Name:,TREASURE MANSIONS
Status:,Active
Development Location:,15 ROSYTH AVENUE SINGAPORE 546242
MC Address:,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727"
MC Contact No.:,63370087
Name of Managing Agent:,Earnest Management Services Pte Ltd
Managing Agent Contact No.:,63370087
MCST No:,2976
UEN:,T05MC2976K
Date of MC Constitution:,21/07/2005
Development Name:,GALLERY 8
Status:,Active
Development Location:,8 PULASAN ROAD SINGAPORE 424376
MC Address:,"8 PULASAN ROAD
#01-01 GALLERY 8
 SINGAPORE 424376"
MC Contact No.:,68421731
Name of Managing Agent:,Landsfield Property Management Pte Ltd
Managing Agent Contact No.:,68421731
MCST No:,2977
UEN:,T05MC2977F
Date of MC Constitution:,18/05/2005
Development Name:,TCH TECHCENTRE
Status:,Active
Development Location:,71 TOH GUAN ROAD EAST SINGAPORE 608598
MC Address:,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727"
MC Contact No.:,63370087
Name of Managing Agent:,Earnest Management Services Pte Ltd
Managing Agent Contact No.:,63370087
MCST No:,2978
UEN:,T05MC2978B
Date of MC Constitution:,26/07/2005
Development Name:,SETIA RESIDENCES
Status:,Active
Development Location:,11 EVELYN ROAD SINGAPORE 309304
MC Address:,"11 EVELYN ROAD
#01-01 SETIA RESIDENCES
 SINGAPORE 309304"
MC Contact No.:,62529033
Name of Managing Agent:,Setia Pte Ltd
Managing Agent Contact No.:,62529033
MCST No:,2979
UEN:,T05MC2979J
Date of MC Constitution:,04/08/2005
Development Name:,PARK GREEN
Status:,Active
Development Location:,2  RIVERVALE LINK SINGAPORE 545040
MC Address:,"4 RIVERVALE LINK
#01-24 PARK GREEN
 SINGAPORE 545041"
MC Contact No.:,63439871
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,62230169
MCST No:,2980
UEN:,T05MC2980F
Date of MC Constitution:,16/08/2005
Development Name:,MALVERN SPRINGS
Status:,Active
Development Location:,373 ONAN ROAD SINGAPORE 424776
MC Address:,"373 ONAN ROAD
#B1-15 MALVERN SPRINGS
 SINGAPORE 424775"
MC Contact No.:,63466280
Name of Managing Agent:,Realty International Associates Pte Ltd
Managing Agent Contact No.:,92708123
MCST No:,2981
UEN:,T05MC2981B
Date of MC Constitution:,17/08/2005
Development Name:,MONTEREY PARK
Status:,Active
Development Location:,23-33 WEST COAST RISE SINGAPORE 127466
MC Address:,"21 WEST COAST RISE
#B1-25 MONTEREY PARK CONDOMINIUM
 SINGAPORE 127464"
MC Contact No.:,6773 1685
Name of Managing Agent:,Knight Frank Property Asset Management Pte Ltd
Managing Agent Contact No.:,91179615
MCST No:,2982
UEN:,T05MC2982J
Date of MC Constitution:,18/08/2005
Development Name:,THE MARBELLA
Status:,Active
Development Location:,29A MOUNT SINAI RISE SINGAPORE 276959
MC Address:,"29A MOUNT SINAI RISE
#01-01 THE MARBELLA
 SINGAPORE 276959"
MC Contact No.:,67625875
Name of Managing Agent:,Jones Lang LaSalle Property Consultants Pte Ltd
Managing Agent Contact No.:,9638 2162
MCST No:,2983
UEN:,T05MC2983E
Date of MC Constitution:,19/08/2005
Development Name:,CANARY VILLE
Status:,Active
Development Location:,138 LORONG J TELOK KURAU SINGAPORE 423484
