MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
0130,S72MC0130G,25/05/1972,WOOLLERTON PARK APARTMENT,Active,36E WOOLLERTON PARK SINGAPORE 257530,"30 WOOLLERTON PARK
WOOLLERTON PARK APARTMENTS
 SINGAPORE 257530",64669723,Premier Property Consultancy Pte Ltd,67412885
0131,S72MC0131C,26/05/1972,MUTUAL COURT,Terminated,8/A/B/C/D MAR THOMA ROAD SINGAPORE 328694,"531 UPPER CROSS STREET
#4-12 HONG LIM COMPLEX
 SINGAPORE 50531",63345565,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565
0132,S72MC0132K,31/05/1972,ENG KONG MAN (Terminated),Terminated,,,,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565
01-3288,T08SM0001E,14/07/2008,TRADEHUB 21,Active,18 BOON LAY WAY SINGAPORE 609966,"18 BOON LAY WAY
#01-143 TRADEHUB 21
 SINGAPORE 609966",67953518,Newman & Goh Property Consultants Pte Ltd,62569333
0133,S72MC0133F,31/05/1972,KISMIS LODGE,Terminated,,"8 KAKI BUKIT ROAD 2
#02-04 
 SINGAPORE 417841",67424049,Aspire Property Management (S) Pte Ltd,67424049
0134,S72MC0134B,15/06/1972,DRAGON VIEW PARK (TERMINATED),Terminated,51P JALAN MUTIARA SINGAPORE 249204,"JALAN MUTIARA

 SINGAPORE 249220",67336845,KIRIN PROPERTIES & SERVICES,67336845
01-3429,T09SM0001K,15/10/2009,ST. REGIS RESIDENCES,Active,31 TANGLIN ROAD SINGAPORE 247912,"33 TANGLIN ROAD
#01-05 ST. REGIS RESIDENCES
 SINGAPORE 247913",62387101,Knight Frank Property Asset Management Pte Ltd,62387101
01-3440,T09MC0082G,18/09/2009,ATRIUM RESIDENCES,Active,1 LORONG 28 GEYLANG SINGAPORE 398406,"3 LORONG 28 GEYLANG
#01-05 ATRIUM RESIDENCES
 SINGAPORE 398408",90461829,Barringham International Property Management Pte Ltd,90461829
0135,S72MC0135J,05/07/1972,DEVONSHIRE COURT (Terminated),Terminated,148M KILLINEY ROAD SINGAPORE 239564,,,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD,62218288
01-3516,T10SM0001A,12/01/2010,YEW TEE POINT,Active,21 CHOA CHU KANG NORTH 6 SINGAPORE 689578,"21 CHOA CHU KANG NORTH 6
#02-01 YEWTEE POINT
 SINGAPORE 689578",64651971,CBRE Pte Ltd,
01-3586,T11SM0008L,05/09/2011,JURONG POINT 2,Active,1 JURONG WEST CENTRAL SINGAPORE 648886,"1 JURONG WEST CENTRAL 2
#03-07 JURONG POINT SHOPPING CENTRE
 SINGAPORE 648886",69508063,Mercatus Epsilon Co-operative Limited,69508063
0136,S72MC0136E,01/08/1972,CAVENAGH COURT,Active,151 CAVENAGH ROAD SINGAPORE 229628,"151 CAVENAGH ROAD
#01-00 CAVENAGH COURT
 SINGAPORE 229628",62569333,Newman & Goh Property Consultants Pte Ltd,62569333
01-3646,T11SM0010D,05/12/2011,ION ORCHARD,Active,2 ORCHARD TURN SINGAPORE 238801,"2 ORCHARD TURN
#05-03 ION ORCHARD
 SINGAPORE 238801",64855200,ORCHARD TURN DEVELOPMENTS PTE LTD,64855200
01-3663,T11SM0001F,31/08/2011,MIDVIEW CITY,Active,18 SIN MING LANE SINGAPORE 573960,"18 SIN MING LANE
#01-19 MIDVIEW CITY
 SINGAPORE 573960",64580053,,
0137,S72MC0137A,17/08/1972,,Terminated,,"200 JALAN SULTAN
#3-3 TEXTILE CENTRE
 SINGAPORE 199018",,PROACT BLDG MAINTENANCE SERVICES,
0138,S72MC0138H,22/08/1972,,Terminated,,"RAFFLES PLACE

 SINGAPORE",,PROACT BLDG MAINTENANCE SERVICES,
01-3837,T12SM0001L,27/07/2012,8 SINARAN DRIVE,Active,8 SINARAN DRIVE SINGAPORE 307470,"8 SINARAN DRIVE
#B1-01A 8 SINARAN DRIVE
 SINGAPORE 307470",66596570,AGAPE FM PTE. LTD.,91860573
01-3873,T13SM0001E,10/01/2013,SCOTTS SQUARE,Active,6 SCOTTS ROAD SINGAPORE 228209,"6 SCOTTS ROAD
#B2-01 SCOTTS SQUARE
 SINGAPORE 228209",97597359,Edmund Tie & Company Property Management Services Pte Ltd,64179225
0139,S72MC0139D,05/09/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0139,Active,14 JALAN LABU AYER SINGAPORE 538026,"14 JALAN LABU AYER

 SINGAPORE 538026",63832877,,
01-3953,T14SM0001K,24/01/2014,ROCHESTER MALL,Active,35 ROCHESTER DRIVE SINGAPORE 138639,"35 ROCHESTER DRIVE
#01-01 ROCHESTER MALL
 SINGAPORE 138638",65700653,UE SERVICECORP SINGAPORE,65700653
0140,S72MC0140A,14/09/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0140,Active,465E JOO CHIAT ROAD SINGAPORE 427678,"JOO CHIAT ROAD

 SINGAPORE 427678",,MCST,
0141,S72MC0141H,14/09/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0141,Active,467B JOO CHIAT ROAD SINGAPORE 427678,"247B TANJONG KATONG ROAD

 SINGAPORE 437035",,MCST,
0142,S72MC0142D,18/09/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0142,Active,33/A-E HONGKONG STREET SINGAPORE 59672,"33A-E HONGKONG STREET

 SINGAPORE 059672",65323941,,
01-4212,T15SM0001D,28/01/2015,CT HUB,Active,2 KALLANG AVENUE SINGAPORE 339407,"2 KALLANG AVENUE
#01-K4 CT HUB
 SINGAPORE 339407",65383592,Savills Property Management Pte Ltd,65383592
01-4297,T16SM0003A,09/06/2016,BEDOK MALL/ RESIDENCES,Active,311 NEW UPPER CHANGI ROAD SINGAPORE 467360,"311 NEW UPPER CHANGI ROAD
#B2-01 BEDOK MALL
 SINGAPORE 467360",67025128,Capitaland Retail Management Pte Ltd,67025128
0143,S72MC0143L,19/09/1972,CHANGI HEIGHTS,Active,,"STRATA TITLES SCHEME TERMINATED
 SINGAPORE",,SINGAPORE LIVESTOCK FARMERS ASSOCIATION,65342744
01-4320,T16SM0001J,26/05/2016,THE TENNERY/JUNCTION 10,Active,#01-36 / 1 WOODLANDS ROAD SINGAPORE 677899,"1 WOODLANDS ROAD
#01-36 JUNCTION 10
 SINGAPORE 677899",62569333,Newman & Goh Property Consultants Pte Ltd,94562027
01-4338,T16SM0005D,13/07/2016,CT  HUB 2,Active,114 LAVENDER STREET SINGAPORE 338729,"114 LAVENDER STREET
#04-50 CT HUB 2
 SINGAPORE 338729",63847602,Chambers Property Management Services Pte Ltd,63847602
01-4355,T16SM0009K,22/08/2016,Westgate Tower,Active,1 GATEWAY DRIVE SINGAPORE 608531,"1 GATEWAY DRIVE
#01-51 WESTGATE TOWER
 SINGAPORE 608531",67104051,CBRE Pte Ltd,62248181
01-4391,T16SM0007G,26/07/2016,GREENWICH V,Active,1 SELETAR ROAD SINGAPORE 807011,"1 SELETAR ROAD
#01-22 GREENWICH V
 SINGAPORE 807011",9159 2851,Newman & Goh Property Consultants Pte Ltd,62569333
0144,S72MC0144G,25/09/1972,(Terminated),Terminated,,,,SINGAPORE LIVESTOCK FARMERS ASSOCIATION,65342744
01-4431,T16SM0011C,19/10/2016,Junction Nine,Active,18 #02-63 YISHUN AVENUE 9 SINGAPORE 768895,"18 YISHUN AVENUE 9
#02-63 JUNCTION NINE
 SINGAPORE 768895",62550717,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd),62550717
01-4440,T17SM0001C,30/03/2017,THE MIDTOWN COMMERCIAL,Active,1187 UPPER SERANGOON ROAD SINGAPORE 534785,"1187 UPPER SERANGOON ROAD
#01-72 THE MIDTOWN
 SINGAPORE 533971",9027 1452,Ocean IFM Pte Ltd,9027 1452
01-4464,T17SM0003F,04/05/2017,KINEX / KATONG REGENCY,Active,11 TANJONG KATONG ROAD SINGAPORE 437157,"11 TANJONG KATONG ROAD
#03-28 KINEX
 SINGAPORE 437157",63549605,UOL Management Services Pte Ltd,62550233
01-4484,T17SM0013L,04/10/2017,VISION EXCHANGE,Active,2 VENTURE DRIVE SINGAPORE 608526,"2 VENTURE DRIVE
#01-50 VISION EXCHANGE
 SINGAPORE 608526",62645307,CBRE Pte Ltd,62248181
0145,S72MC0145C,29/09/1972,IDEAL PLACE,Active,278B JOO CHIAT ROAD SINGAPORE 427526,"1014 GEYLANG EAST AVENUE 3
#7-216 
 SINGAPORE 389729",68440801,Halley Service Pte Ltd,68440801
01-4515,T17SM0005J,25/05/2017,UP@ROBERTSON QUAY,Active,92 ROBERTSON QUAY SINGAPORE 238260,"92 ROBERTSON QUAY
#01-01 UP@ROBERTSON QUAY
 SINGAPORE 238260",63843429,,
01-4520,T17SM0015C,10/11/2017,NEWest,Active,1 WEST COAST DRIVE SINGAPORE 128020,"1 WEST COAST DRIVE
#01-111 NEWEST
 SINGAPORE 128020",62654246,Ocean IFM Pte Ltd,97991582
01-4522,T17SM0017F,13/07/2017,SEAHILL,Active,119 WEST COAST CRESCENT SINGAPORE 126777,"119 WEST COAST ROAD
#B1-07 SEAHILL
 SINGAPORE 126777",6264 3715,Knight Frank Property Asset Management Pte Ltd,68485653
01-4534,T17SM0011H,21/09/2017,KAP,Active,9 KING ALBERT PARK SINGAPORE 598332,"9 KING ALBERT PARK
#01-72 KAP
 SINGAPORE 598332",9815 2461,Ocean IFM Pte Ltd,91991582
01-4546,T17SM0008H,16/08/2017,CAIRNHILL NINE,Active,9 CAIRNHILL ROAD SINGAPORE 229723,"9 CAIRNHILL ROAD
#05-01 CAIRNHILL NINE
 SINGAPORE 229723",67343847,Ace Decision Facilities Management Pte Ltd,87877809
01-4548,T17SM0009D,18/09/2017,The Star Vista,Active,1  VISTA EXCHANGE GREEN SINGAPORE 138617,"1 VISTA EXCHANGE GREEN
#04-01 THE STAR
 SINGAPORE 138617",66943110,,
01-4549,T17SM0018B,27/12/2017,PS 100,Active,PS100 PECK SEAH STREET SINGAPORE 079333,"100 PECK SEAH STREET
#06-01 PS100
 SINGAPORE 079333",63851596,CBRE Pte Ltd,63851428
01-4553,T17SM0006E,05/07/2017,HILLV2,Active,4 HILLVIEW RISE SINGAPORE 667979,"4 HILLVIEW RISE
#01-18 HILLV2
 SINGAPORE 667979",69779582,Knight Frank Property Asset Management Pte Ltd,68485635
01-4555,T18SM0008B,15/08/2018,HILLION MALL / HILLION RESIDENCES,Active,17  PETIR ROAD SINGAPORE 678278,"17 PETIR ROAD
#B1-67 HILLION MALL 
 SINGAPORE 678278",64687155,Knight Frank Property Asset Management Pte Ltd,64687155
0146,S72MC0146K,29/09/1972,REALTY CENTRE,Terminated,16W ENGGOR STREET SINGAPORE 79716,"15 ENGGOR STREET
REALTY CENTRE
 SINGAPORE 079716",91150630,HBA Group Property Consultants Pte Ltd,91150630
01-4612,T18SM0001H,01/02/2018,ONZE@TANJONG PAGAR,Active,11 KEE SENG STREET SINGAPORE 089218,"11 KEE SENG STREET
#01-14 ONZE@TANJONG PAGAR
 SINGAPORE 089218",96332719,Ocean IFM Pte Ltd,96332719
01-4616,T18SM0003L,11/05/2018,THE CITRON & THE CITRON RESIDENCES,Active,1 MARNE ROAD SINGAPORE 208380,"1 MARNE ROAD
#01-14 THE CITRON 
 SINGAPORE 208380",64685100,Chambers Property Management Services Pte Ltd,98161900
01-4622,T18SM0005C,09/06/2018,South Beach,Active,26 BEACH ROAD SINGAPORE 189768,"38 BEACH ROAD
#B2-02 SOUTH BEACH TOWER
 SINGAPORE 189767",67021429,,
01-4623,T18SM0012J,19/09/2018,ROYAL SQUARE MEDICAL CENTRE,Active,101 IRRAWADDY ROAD SINGAPORE 329565,"103 IRRAWADDY ROAD
#04-01 ROYAL SQUARE AT NOVENA
 SINGAPORE 329566",62654502,Jones Lang LaSalle Property Consultants Pte Ltd,627654502
01-4626,T18SM0010F,09/10/2018,UIC BUILDING,Active,5 SHENTON WAY SINGAPORE 068808,"5 SHENTON WAY
#B1-01 UIC BUILDING
 SINGAPORE 068808",63847862,Knight Frank Property Asset Management Pte Ltd,63847862
01-4641,T18SM0014A,15/11/2018,GUOCO TOWER,Active,7  WALLICH STREET SINGAPORE 078884,"7 WALLICH STREET
#B2-08 GUOCO TOWER
 SINGAPORE 078884",63868322,GuocoLand Property Maintenance Services Pte. Ltd.,63868322
01-4662,T19SM0003E,26/03/2019,DUO Residences,Active,1 FRASER STREET SINGAPORE 189350,"1 FRASER STREET
#B1-01 DUO RESIDENCES
 SINGAPORE 189350",67022770,,
01-4674,T19SM0008G,20/09/2019,Marina One - Retail Block The heart,Active,5 STRAITS VIEW SINGAPORE 018935,"5 STRAITS VIEW
#B2-79 MARINA ONE
 SINGAPORE 018935",69110118,,
01-4677,T19SM0001B,22/03/2019,CAPITOL PIAZZA,Active,13 STAMFORD ROAD SINGAPORE 178905,"13 STAMFORD ROAD
#B2-56 CAPITOL SINGAPORE
 SINGAPORE 178905",6385 7488,,
01-4682,T19SM0005H,17/07/2019,Waterway Point,Active,83 PUNGGOL CENTRAL SINGAPORE 828761,"83 PUNGGOL CENTRAL
#B2-34 WATERWAY POINT
 SINGAPORE 828761",68127301,FRASERS CENTREPOINT PROPERTY MANAGEMENT SERVICES PTE LTD,68127312
01-4690,T19SM0007L,13/08/2019,The Wisteria/Wisteria Mall,Active,594 YISHUN RING ROAD SINGAPORE 768696,"594 CHANGI SOUTH STREET 1
#00-00 THE WISTERIA / WISTERIA MALL
 SINGAPORE 768696",66109648,Luxman Property Consultants Pte Ltd,Wee Boon Hun
0147,S72MC0147F,29/09/1972,FAIRHAVEN,Terminated,130T SOPHIA ROAD SINGAPORE 228185,"130 SOPHIA ROAD
FAIRHAVEN
 SINGAPORE 228185",63391556,,
01-4704,T20SM0001D,11/03/2020,THE POIZ RESIDENCES,Active,51 UPPER SERANGOON ROAD SINGAPORE 347697,"51 UPPER SERANGOON ROAD
#03-15 THE POIZ RESIDENCES
 SINGAPORE 347697",69803506,CWL Facilities Management Pte Ltd,69803506
01-4706,T19SM0011G,13/11/2019,FARRER SQUARE,Active,12 FARRER PARK STATION ROAD SINGAPORE 217565,"20 MARTIN ROAD
#03-01 FARRER SQUARE 
 SINGAPORE 239070",67368183,Savills Property Management Pte Ltd,6736 8183
01-4708,T20SM0005K,16/07/2020,BIJOU,Active,4 JALAN MAT JAMBOL SINGAPORE 119555,"6 WOODLANDS SQUARE
#05-01 WOODS SQUARE TOWER 2
 SINGAPORE 737773",96644868,,
01-4729,T20SM0007B,16/07/2020,FUNAN,Active,107 NORTH BRIDGE ROAD SINGAPORE 179105,"107 NORTH BRIDGE ROAD
#B3-01 FUNAN
 SINGAPORE 179105",92281328,CapitaLand Retail Management Pte. Ltd.,9228 1328
01-4734,T21SM0003A,26/03/2021,North Park Residences,Active,29 YISHUN CENTRAL 1 SINGAPORE 768808,"37 YISHUN CENTRAL 1
#04-93 NORTH PARK RESIDENCE
 SINGAPORE 768808",6513 7536,Edmund Tie & Company Property Management Services Pte Ltd,
01-4735,T20SM0003G,02/06/2020,Subsidiary Management Corporation No. 1 Strata Title Plan No. 4735,Active,30 RAFFLES PLACE SINGAPORE 048622,"30 RAFFLES PLACE
#03-01 CIMB PLAZA
 SINGAPORE 048622",62307904,Jones Lang LaSalle Property Consultants Pte Ltd,62307904
01-4741,T21SM0001J,12/03/2021,STARS OF KOVAN,Active,980 UPPER SERANGOON ROAD SINGAPORE 533856,"986 UPPER SERANGOON ROAD
#03-27 STARS OF KOVAN
 SINGAPORE 534732",90905115,Premier Property Consultancy Pte Ltd,9362 7650
01-4747,T21SM0004H,24/05/2021,CENTRIUM SQUARE,Active,320 SERANGOON ROAD SINGAPORE 218108,"320 CECIL STREET
#05-01 CENTRIUM SQUARE
 SINGAPORE 218108",64930340,Edmund Tie & Company Property Management Services Pte Ltd,
01-4748,T20SM0010B,11/12/2020,LE QUEST,Active,6 BUKIT BATOK  STREET 41 SINGAPORE 657992,"6 PAYA LEBAR ROAD
#04-10 THE SUB MANAGEMENT CORPORATION NO. 1 – STRATA TITLE PLAN NO 4748
 SINGAPORE 657992",6513 6613,Asia Properties & Assets Consultancy Pte Ltd,98372532
01-4750,T23SM0001H,18/01/2023,WOODS SQUARE,Active,,"14 SCOTTS ROAD
06-00 FAR EAST PLAZA
 SINGAPORE 228213",,,
01-4771,T22SM0001C,28/01/2022,PAYA LEBAR QUARTER,Active,PLQ Mall PAYA LEBAR ROAD SINGAPORE 409057,"10 PAYA LEBAR ROAD
#05-03 PLQ MALL
 SINGAPORE 409057",,Lendlease Retail Pte. Ltd.,
01-4774,T22SM0004B,22/06/2022,UPTOWN @ FARRER,Active,,"80 MARINE PARADE ROAD
18-05/09 PARKWAY PARADE
 SINGAPORE 449269",68248509,,
01-4775,T21SM0006L,04/10/2021,SIXTEEN35 RESIDENCES,Active,16 GEYLANG ROAD SINGAPORE 387946,"16 LORONG 35 GEYLANG
#01-01 SIXTEEN35 RESIDENCES
 SINGAPORE 387946",6886 1936,Ocean IFM Pte Ltd,
0148,T05MC3005G,30/09/1972,GRAND BUILDING,Active,17J PHILLIP STREET SINGAPORE 48695,"750 CHAI CHEE ROAD
#03-09 ESR BIZPARK @ CHAI CHEE
 SINGAPORE 469000",64179205,EDMUND TIE & COMPANY PROPERTY MANAGEMENT SERVICES PTE LTD,64179205
0149,S72MC0149J,02/10/1972,,Terminated,,,,BRITISH AND MALAYAN TRUSTEES LTD,65354922
0150,S72MC0150F,02/10/1972,,Terminated,,,,BRITISH AND MALAYAN TRUSTEES LTD,65354922
0151,S72MC0151B,03/10/1972,EAST VILLE,Active,43Q JOO CHIAT LANE SINGAPORE 428103,"1 IRVING PLACE
#06-12 
 SINGAPORE 369546",62273233,Bernard Valuers & Real Estate Consultants Pte Ltd,62273233
0152,S72MC0152J,09/10/1972,LAVENDER STREET,Active,205 LAVENDER STREET SINGAPORE 338764,"205 LAVENDER STREET
NA
 SINGAPORE 338764",62913274,,
0153,S72MC0153E,15/12/1980,Terminated,Terminated,,"KOON SENG ROAD

 SINGAPORE 427050",63457724,NIL,
0154,S72MC0154A,16/10/1972,DEVONSHIRE MANSIONS (Terminated),Terminated,61 DEVONSHIRE ROAD SINGAPORE 239858,"78 SHENTON WAY
#22-1 
 SINGAPORE 79120",62218111,MCL LAND PROPERTY MANAGEMENT PTE LTD,62218111
0155,S72MC0155H,01/11/1972,83/83A/85/85A JOO CHIAT TERRACE,Active,85A JOO CHIAT TERRACE SINGAPORE 427245,"83 JOO CHIAT TERRACE

 SINGAPORE 427245",98555958,,
0156,S72MC0156D,07/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0156,Active,467E JOO CHIAT ROAD SINGAPORE 427678,"467C JOO CHIAT ROAD

 SINGAPORE 427678",63440690,MCST,
0157,S72MC0157L,10/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0157,Active,16/A/B KIM KEAT LANE SINGAPORE 328874,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67412232
0158,S72MC0158G,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0158,Active,8/A/B KIM KEAT LANE SINGAPORE 328865,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0159,S72MC0159C,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0159,Active,4/A/B KIM KEAT LANE SINGAPORE 328861,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0160,S72MC0160L,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0160,Active,2/A/B KIM KEAT LANE SINGAPORE 328859,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67412232
0161,S72MC0161G,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0161,Active,1/A/B KIM KEAT CLOSE SINGAPORE 328913,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0162,S72MC0162C,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0162,Active,3/A/B KIM KEAT CLOSE SINGAPORE 328915,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0163,S72MC0163K,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0163,Active,5/A/B KIM KEAT CLOSE SINGAPORE 328917,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67412232
0164,S72MC0164F,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0164,Active,7/A/B KIM KEAT CLOSE SINGAPORE 328919,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0165,S72MC0165B,14/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0165,Active,9B KIM KEAT CLOSE SINGAPORE 328921,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0166,S72MC0166J,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0166,Active,11/A/B KIM KEAT CLOSE SINGAPORE 328923,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67419492
0167,S72MC0167E,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0167,Active,15/A/B KIM KEAT CLOSE SINGAPORE 328926,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0168,S72MC0168A,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0168,Active,19/A/B KIM KEAT CLOSE SINGAPORE 328930,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0169,S72MC0169H,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0169,Active,21/A/B KIM KEAT CLOSE SINGAPORE 328931,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67419492
0170,S72MC0170E,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0170,Active,23/A/B KIM KEAT CLOSE SINGAPORE 328932,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67417804,CENCON PROPERTIES PTE LTD,67412232
0171,S72MC0171A,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0171,Active,2/A/B KIM KEAT CLOSE SINGAPORE 328914,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0172,S72MC0172H,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0172,Active,4/A/B KIM KEAT CLOSE SINGAPORE 328916,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67419492
0173,S72MC0173D,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0173,Active,6/A/B KIM KEAT CLOSE SINGAPORE 328918,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0174,S72MC0174L,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0174,Active,8/A/B KIM KEAT CLOSE SINGAPORE 328920,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0175,S72MC0175G,15/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0175,Active,10/A/B KIM KEAT CLOSE SINGAPORE 328922,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67412232
0176,S72MC0176C,16/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0176,Active,12/A/B KIM KEAT CLOSE SINGAPORE 328924,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0177,S72MC0177K,16/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0177,Active,14/A/B KIM KEAT CLOSE SINGAPORE 328925,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0178,S72MC0178F,16/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0178,Active,16/A/B KIM KEAT CLOSE SINGAPORE 328927,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67419492
0179,S72MC0179B,16/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0179,Active,6/A/B KIM KEAT LANE SINGAPORE 328863,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0180,S72MC0180K,16/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0180,Active,17/A/B KIM KEAT CLOSE SINGAPORE 328928,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67417804
0181,S72MC0181F,16/11/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0181,Active,18/A/B KIM KEAT CLOSE SINGAPORE 328929,"2 TANNERY ROAD
#01-01 CENCON BUILDING
 SINGAPORE 347720",67412232,CENCON PROPERTIES PTE LTD,67419492
0182,S72MC0182B,30/11/1972,LUCKY COURT,Active,79C LUCKY HEIGHTS SINGAPORE 467627,"71-79 LUCKY HEIGHTS
LUCKY COURT 
 SINGAPORE 467626",64436039,Focus Strata Management Pte Ltd,64436039
0183,S72MC0183J,04/12/1972,CARLISLE LODGE,Terminated,81/A/B/C CARLISLE ROAD SINGAPORE 219644,"CARLISLE ROAD

 SINGAPORE",,OUTOCOZ PROPERTY SERVICES PTE LTD,64404600
0184,S72MC0184E,27/12/1972,WOO MON CHEW COURT,Active,2E WOO MON CHEW ROAD SINGAPORE 455056,"456 ALEXANDRA ROAD
#02-09 FRAGRANCE EMPIRE
 SINGAPORE 119962",69161027,,
0185,S73MC0185F,27/01/1973,WOOLLERTON PARK APARTMENTS,Active,22 WOOLLERTON PARK SINGAPORE 257526,"30 WOOLLERTON PARK
WOOLLERTON PARK APARTMENTS
 SINGAPORE 257530",64669723,Colliers International Consultancy & Valuation (S) Pte Ltd,62232323
0186,S73MC0186B,26/02/1973,HOOT KIAM MANSIONS,Active,17 HOOT KIAM ROAD SINGAPORE 249400,"7030  ANG MO KIO AVENUE 5
#09-73 NORTHSTAR@AMK
 SINGAPORE 569880",67336845,KIRIN ASSET MANAGEMENT PTE LTD,67336845
0187,S73MC0187J,11/04/1973,ELLING COURT,Terminated,,"1 YUK TONG AVENUE
#1-1 
 SINGAPORE 596306",64661342,PREMAS INTERNATIONAL LTD,65384733
0188,S73MC0188E,19/04/1973,,Terminated,9B LORONG 20 GEYLANG SINGAPORE 398729,"51 JURONG EAST AVENUE 1
#16-02 PARC OASIS
 SINGAPORE 609782",97892503,,
